model,theta1_over_pi,theta2_over_pi,N_loc
SSH,0.0,0.0,0.03941115522637061
SSH,0.0,0.024691358024691357,0.03951891206423661
SSH,0.0,0.04938271604938271,0.03966269514778613
SSH,0.0,0.07407407407407407,0.039846317424826805
SSH,0.0,0.09876543209876543,0.04007142796290024
SSH,0.0,0.12345679012345678,0.040336843559571484
SSH,0.0,0.14814814814814814,0.040638171664548514
SSH,0.0,0.1728395061728395,0.04096778140326489
SSH,0.0,0.19753086419753085,0.04131512470587542
SSH,0.0,0.2222222222222222,0.0416673581146801
SSH,0.0,0.24691358024691357,0.04201018038873621
SSH,0.0,0.2716049382716049,0.04232878678794645
SSH,0.0,0.2962962962962963,0.04260884530367168
SSH,0.0,0.32098765432098764,0.04283741595076587
SSH,0.0,0.345679012345679,0.04300375398540808
SSH,0.0,0.37037037037037035,0.043099956284226554
SSH,0.0,0.3950617283950617,0.04312142474444314
SSH,0.0,0.41975308641975306,0.04306713126986529
SSH,0.0,0.4444444444444444,0.04293967665138031
SSH,0.0,0.4691358024691358,0.04274514173277241
SSH,0.0,0.49382716049382713,0.04249273497374961
SSH,0.0,0.5185185185185185,0.04219424716279415
SSH,0.0,0.5432098765432098,0.041863332909925194
SSH,0.0,0.5679012345679012,0.04151465088607563
SSH,0.0,0.5925925925925926,0.04116291116151086
SSH,0.0,0.6172839506172839,0.04082189743703574
SSH,0.0,0.6419753086419753,0.040503550856740664
SSH,0.0,0.6666666666666666,0.04021721397273507
SSH,0.0,0.691358024691358,0.03996913045330096
SSH,0.0,0.7160493827160493,0.03976227257194527
SSH,0.0,0.7407407407407407,0.039596524951998974
SSH,0.0,0.7654320987654321,0.039469198266999704
SSH,0.0,0.7901234567901234,0.03937579510416104
SSH,0.0,0.8148148148148148,0.03931091584784235
SSH,0.0,0.8395061728395061,0.03926918218599612
SSH,0.0,0.8641975308641975,0.039246067496457815
SSH,0.0,0.8888888888888888,0.039238548354610964
SSH,0.0,0.9135802469135802,0.039245519998395276
SSH,0.0,0.9382716049382716,0.03926794430520801
SSH,0.0,0.9629629629629629,0.0393087200844295
SSH,0.0,0.9876543209876543,0.03937228464824977
SSH,0.0,1.0123456790123457,0.039463976616237365
SSH,0.0,1.037037037037037,0.03958921530080778
SSH,0.0,1.0617283950617282,0.03975258053769805
SSH,0.0,1.0864197530864197,0.03995690229156422
SSH,0.0,1.1111111111111112,0.040202482182680535
SSH,0.0,1.1358024691358024,0.04048656043487499
SSH,0.0,1.1604938271604937,0.040803108904075305
SSH,0.0,1.1851851851851851,0.041142980156948214
SSH,0.0,1.2098765432098766,0.04149438758601658
SSH,0.0,1.2345679012345678,0.04184364691702663
SSH,0.0,1.259259259259259,0.042176084486630364
SSH,0.0,1.2839506172839505,0.042477013438309175
SSH,0.0,1.308641975308642,0.04273269009527234
SSH,0.0,1.3333333333333333,0.04293118139994309
SSH,0.0,1.3580246913580245,0.043063093840037
SSH,0.0,1.382716049382716,0.04312213091449797
SSH,0.0,1.4074074074074074,0.04310545878837127
SSH,0.0,1.4320987654320987,0.043013868860091106
SSH,0.0,1.45679012345679,0.04285173271486001
SSH,0.0,1.4814814814814814,0.042626750682207025
SSH,0.0,1.5061728395061729,0.04234950123511927
SSH,0.0,1.5308641975308641,0.04203280606063806
SSH,0.0,1.5555555555555554,0.041690936104924706
SSH,0.0,1.5802469135802468,0.04133869825190964
SSH,0.0,1.6049382716049383,0.040990460470346116
SSH,0.0,1.6296296296296295,0.04065919306739038
SSH,0.0,1.6543209876543208,0.040355620029582345
SSH,0.0,1.6790123456790123,0.04008757983655163
SSH,0.0,1.7037037037037037,0.03985968228583871
SSH,0.0,1.728395061728395,0.039673313735814716
SSH,0.0,1.7530864197530862,0.03952699244467538
SSH,0.0,1.7777777777777777,0.0394170206113114
SSH,0.0,1.8024691358024691,0.03933833538169638
SSH,0.0,1.8271604938271604,0.03928543848467565
SSH,0.0,1.8518518518518516,0.03925328563087961
SSH,0.0,1.876543209876543,0.03923803638735357
SSH,0.0,1.9012345679012346,0.03923759311091454
SSH,0.0,1.9259259259259258,0.03925188518858139
SSH,0.0,1.950617283950617,0.039282878226626905
SSH,0.0,1.9753086419753085,0.039334307580019434
SSH,0.024691358024691357,0.0,0.03951891206423848
SSH,0.024691358024691357,0.024691358024691357,0.03962665206491637
SSH,0.024691358024691357,0.04938271604938271,0.03977041875938679
SSH,0.024691358024691357,0.07407407407407407,0.039954025294656845
SSH,0.024691358024691357,0.09876543209876543,0.04017912092404265
SSH,0.024691358024691357,0.12345679012345678,0.040444522606320615
SSH,0.024691358024691357,0.14814814814814814,0.040745837919082914
SSH,0.024691358024691357,0.1728395061728395,0.041075436077534874
SSH,0.024691358024691357,0.19753086419753085,0.041422769063350406
SSH,0.024691358024691357,0.2222222222222222,0.04177499343619837
SSH,0.024691358024691357,0.24691358024691357,0.04211780794494914
SSH,0.024691358024691357,0.2716049382716049,0.04243640781968798
SSH,0.024691358024691357,0.2962962962962963,0.04271646100986426
SSH,0.024691358024691357,0.32098765432098764,0.04294502748261477
SSH,0.024691358024691357,0.345679012345679,0.04311136244543083
SSH,0.024691358024691357,0.37037037037037035,0.04320756272862693
SSH,0.024691358024691357,0.3950617283950617,0.043229030187440134
SSH,0.024691358024691357,0.41975308641975306,0.04317473668920083
SSH,0.024691358024691357,0.4444444444444444,0.04304728299424374
SSH,0.024691358024691357,0.4691358024691358,0.04285274992155454
SSH,0.024691358024691357,0.49382716049382713,0.04260034591134243
SSH,0.024691358024691357,0.5185185185185185,0.042301861736834534
SSH,0.024691358024691357,0.5432098765432098,0.041970951995532205
SSH,0.024691358024691357,0.5679012345679012,0.041622275346566796
SSH,0.024691358024691357,0.5925925925925926,0.0412705418466147
SSH,0.024691358024691357,0.6172839506172839,0.04092953517833674
SSH,0.024691358024691357,0.6419753086419753,0.04061119646060983
SSH,0.024691358024691357,0.6666666666666666,0.04032486821142222
SSH,0.024691358024691357,0.691358024691358,0.04007679405548496
SSH,0.024691358024691357,0.7160493827160493,0.03986994621414505
SSH,0.024691358024691357,0.7407407407407407,0.03970420925230671
SSH,0.024691358024691357,0.7654320987654321,0.03957689378189752
SSH,0.024691358024691357,0.7901234567901234,0.03948350232841438
SSH,0.024691358024691357,0.8148148148148148,0.039418635216525076
SSH,0.024691358024691357,0.8395061728395061,0.0393769140772738
SSH,0.024691358024691357,0.8641975308641975,0.03935381223343813
SSH,0.024691358024691357,0.8888888888888888,0.039346306204746294
SSH,0.024691358024691357,0.9135802469135802,0.039353291169397925
SSH,0.024691358024691357,0.9382716049382716,0.039375728937063224
SSH,0.024691358024691357,0.9629629629629629,0.03941651823795327
SSH,0.024691358024691357,0.9876543209876543,0.039480096291518496
SSH,0.024691358024691357,1.0123456790123457,0.03957180161096112
SSH,0.024691358024691357,1.037037037037037,0.03969705339150517
SSH,0.024691358024691357,1.0617283950617282,0.03986043134651006
SSH,0.024691358024691357,1.0864197530864197,0.04006476532110163
SSH,0.024691358024691357,1.1111111111111112,0.04031035682789648
SSH,0.024691358024691357,1.1358024691358024,0.040594446003341264
SSH,0.024691358024691357,1.1604938271604937,0.04091100464199832
SSH,0.024691358024691357,1.1851851851851851,0.04125088527743952
SSH,0.024691358024691357,1.2098765432098766,0.04160230129589367
SSH,0.024691358024691357,1.2345679012345678,0.0419515684388858
SSH,0.024691358024691357,1.259259259259259,0.0422840130743956
SSH,0.024691358024691357,1.2839506172839505,0.04258494838563674
SSH,0.024691358024691357,1.308641975308642,0.04284063073717367
SSH,0.024691358024691357,1.3333333333333333,0.04303912710865408
SSH,0.024691358024691357,1.3580246913580245,0.04317104401627227
SSH,0.024691358024691357,1.382716049382716,0.04323008497511066
SSH,0.024691358024691357,1.4074074074074074,0.04321341615157416
SSH,0.024691358024691357,1.4320987654320987,0.043121828928777195
SSH,0.024691358024691357,1.45679012345679,0.04295969485892976
SSH,0.024691358024691357,1.4814814814814814,0.04273471422061244
SSH,0.024691358024691357,1.5061728395061729,0.042457465418718546
SSH,0.024691358024691357,1.5308641975308641,0.04214077005709448
SSH,0.024691358024691357,1.5555555555555554,0.04179889898748588
SSH,0.024691358024691357,1.5802469135802468,0.04144665899384144
SSH,0.024691358024691357,1.6049382716049383,0.04109841794692007
SSH,0.024691358024691357,1.6296296296296295,0.04076714606671243
SSH,0.024691358024691357,1.6543209876543208,0.040463567272376336
SSH,0.024691358024691357,1.6790123456790123,0.040195520003647234
SSH,0.024691358024691357,1.7037037037037037,0.03996761405050631
SSH,0.024691358024691357,1.728395061728395,0.03978123579707804
SSH,0.024691358024691357,1.7530864197530862,0.039634903557854734
SSH,0.024691358024691357,1.7777777777777777,0.03952491961272983
SSH,0.024691358024691357,1.8024691358024691,0.03944622120650394
SSH,0.024691358024691357,1.8271604938271604,0.03939331017834595
SSH,0.024691358024691357,1.8518518518518516,0.039361142356430755
SSH,0.024691358024691357,1.876543209876543,0.03934587743090018
SSH,0.024691358024691357,1.9012345679012346,0.03934541788807362
SSH,0.024691358024691357,1.9259259259259258,0.03935969325355715
SSH,0.024691358024691357,1.950617283950617,0.03939066928452402
SSH,0.024691358024691357,1.9753086419753085,0.03944208150176287
