model,theta1_over_pi,theta2_over_pi,N_loc
BHZ,0.0,0.0,0.02664863400761141
BHZ,0.0,0.024691358024691357,0.02668419407999667
BHZ,0.0,0.04938271604938271,0.026754328211083988
BHZ,0.0,0.07407407407407407,0.02685714108217767
BHZ,0.0,0.09876543209876543,0.02698987695747034
BHZ,0.0,0.12345679012345678,0.02714901600867047
BHZ,0.0,0.14814814814814814,0.027330393013785467
BHZ,0.0,0.1728395061728395,0.027529331711408554
BHZ,0.0,0.19753086419753085,0.02774078799996048
BHZ,0.0,0.2222222222222222,0.027959495644212264
BHZ,0.0,0.24691358024691357,0.028180109016736683
BHZ,0.0,0.2716049382716049,0.02839733848337542
BHZ,0.0,0.2962962962962963,0.028606075188140363
BHZ,0.0,0.32098765432098764,0.028801503089303557
BHZ,0.0,0.345679012345679,0.028979197067056057
BHZ,0.0,0.37037037037037035,0.02913520671794104
BHZ,0.0,0.3950617283950617,0.029266126048628653
BHZ,0.0,0.41975308641975306,0.029369149679193414
BHZ,0.0,0.4444444444444444,0.029442116372099807
BHZ,0.0,0.4691358024691358,0.029483540739134007
BHZ,0.0,0.49382716049382713,0.029492633871285055
BHZ,0.0,0.5185185185185185,0.0294693134203605
BHZ,0.0,0.5432098765432098,0.02941420337210213
BHZ,0.0,0.5679012345679012,0.029328623430216458
BHZ,0.0,0.5925925925925926,0.029214567620780122
BHZ,0.0,0.6172839506172839,0.029074671473157968
BHZ,0.0,0.6419753086419753,0.028912166981789087
BHZ,0.0,0.6666666666666666,0.02873082454878506
BHZ,0.0,0.691358024691358,0.028534881289338773
BHZ,0.0,0.7160493827160493,0.02832895547863409
BHZ,0.0,0.7407407407407407,0.028117947537989435
BHZ,0.0,0.7654320987654321,0.027906928776395196
BHZ,0.0,0.7901234567901234,0.027701020060301396
BHZ,0.0,0.8148148148148148,0.027505263575484024
BHZ,0.0,0.8395061728395061,0.027324491732326706
BHZ,0.0,0.8641975308641975,0.027163197897074352
BHZ,0.0,0.8888888888888888,0.02702541387646585
BHZ,0.0,0.9135802469135802,0.026914598874871423
BHZ,0.0,0.9382716049382716,0.026833544011676896
BHZ,0.0,0.9629629629629629,0.026784295565708292
BHZ,0.0,0.9876543209876543,0.026768099104364063
BHZ,0.0,1.0123456790123457,0.026785365757583994
BHZ,0.0,1.037037037037037,0.02683566122996932
BHZ,0.0,1.0617283950617282,0.02691771769783833
BHZ,0.0,1.0864197530864197,0.02702946838299365
BHZ,0.0,1.1111111111111112,0.027168104155195955
BHZ,0.0,1.1358024691358024,0.027330150860623098
BHZ,0.0,1.1604938271604937,0.027511565192105455
BHZ,0.0,1.1851851851851851,0.02770784592542472
BHZ,0.0,1.2098765432098766,0.027914156441240807
BHZ,0.0,1.2345679012345678,0.028125453835059613
BHZ,0.0,1.259259259259259,0.028336619718880744
BHZ,0.0,1.2839506172839505,0.028542588068361734
BHZ,0.0,1.308641975308642,0.028738466101565475
BHZ,0.0,1.3333333333333333,0.02891964505988969
BHZ,0.0,1.3580246913580245,0.029081898747744417
BHZ,0.0,1.382716049382716,0.029221468637217973
BHZ,0.0,1.4074074074074074,0.029335135155459935
BHZ,0.0,1.4320987654320987,0.02942027538452427
BHZ,0.0,1.45679012345679,0.029474907794665852
BHZ,0.0,1.4814814814814814,0.02949772480933214
