model,orientation,center_theta1_over_pi,center_theta2_over_pi,radius_over_pi,n_points,D_loc_strict,D_loc_swap,ep_exact,arg_det,max_abs_phase,eigphase_1,eigphase_2,eigphase_3,eigphase_4,schmidt_1,schmidt_2,schmidt_3,schmidt_4
BBH,+,1.0,1.0,0.05,121,0.0012294373302861354,0.0012294373302861354,3.358923133214533e-07,-5.283967707825353e-15,0.009439513191817836,-0.009439513191817836,-0.00329665881925434,0.003296658819251055,0.009439513191816351,1.9999996221209655,0.0012169099162412998,0.00017506070580329555,1.065165742575732e-07
BBH,+,1.0,1.0,0.1,121,0.005639209514484244,0.005639209514484244,7.066747204150421e-06,7.216449660063516e-16,0.036213880057368454,-0.03621388005736594,-0.013925507739765027,0.013925507739763974,0.036213880057368454,1.9999920498290151,0.005576190839596469,0.000840661031443053,2.3438524886114427e-06
BBH,+,1.0,1.0,0.15,121,0.013393725147839102,0.013393725147839102,3.9862567285226585e-05,-2.0122792321330962e-15,0.07571506757945891,-0.07571506757945891,-0.03409223074644729,0.03409223074644503,0.0757150675794586,1.999955152031661,0.013164130371713169,0.0024688599537806125,1.6250561553050613e-05
BBH,+,1.0,1.0,0.175,121,0.01796774521875123,0.01796774521875123,7.173469491493654e-05,-4.163336342344338e-16,0.09798974764985884,-0.09798974764985825,-0.04881165112897302,0.04881165112897296,0.09798974764985884,1.999919290032939,0.017538363901057865,0.003903584756160927,3.423262644385405e-05
BBH,+,1.0,1.0,0.18,121,0.018878376800107278,0.018878376800107278,7.91893079653426e-05,2.192690473634684e-15,0.10249875155726164,-0.10249875155726007,-0.05219041345762531,0.05219041345762648,0.10249875155726164,1.9999109017223495,0.018391449537955507,0.004258899161438278,3.9165409292941385e-05
BBH,+,1.0,1.0,0.185,121,0.019776028361988916,0.019776028361988916,8.689811398558214e-05,4.440892098500627e-16,0.10700022469270225,-0.10700022469270119,-0.055723926610934345,0.05572392661093353,0.10700022469270225,1.9999022271755518,0.01922361742275969,0.0046402889929167855,4.46037506833182e-05
BBH,+,1.0,1.0,0.19,121,0.020655298396625717,0.020655298396625717,9.479598127616463e-05,-3.108624468950438e-15,0.11148219151793909,-0.11148219151793909,-0.05941641836227375,0.059416418362271434,0.11148219151793895,1.999893339662032,0.020028296613225506,0.0050492329349432295,5.056646416356249e-05
BBH,+,1.0,1.0,0.195,121,0.0215106227919828,0.0215106227919828,0.00010280816325542514,-9.575673587391977e-16,0.11593211770770995,-0.115932117707709,-0.06327211292699636,0.063272112926995,0.11593211770770995,1.999884323276776,0.02079857587450617,0.005487212116652957,5.706639940130657e-05
BBH,+,1.0,1.0,0.2,121,0.022336307590210484,0.022336307590210484,0.00011085083262468091,-1.457167719820518e-15,0.12033690837702225,-0.12033690837702225,-0.06729521459700939,0.06729521459700796,0.12033690837702216,1.9998752723408093,0.021527211520784333,0.005955680817719093,6.41085984146429e-05
BBH,+,1.0,1.0,0.205,121,0.02312656098641261,0.02312656098641261,0.00011883184420247161,1.2767564783189304e-15,0.12468293713258594,-0.12468293713258315,-0.07148988464911102,0.07148988464911027,0.12468293713258594,1.99986629054424,0.022206631696387574,0.006456029302396948,7.168812516037865e-05
BBH,+,1.0,1.0,0.21,121,0.023875523154648467,0.023875523154648467,0.00012665171150179805,-5.5511151231257815e-17,0.1289561218796774,-0.1289561218796774,-0.07586020801613798,0.07586020801613794,0.12895612187967656,1.9998574898485197,0.022828935176300313,0.006989538570502631,7.978754673742224e-05
BBH,+,1.0,1.0,0.215,121,0.024577293026578146,0.024577293026578146,0.0001342047800942936,-2.6922908347160042e-15,0.13314206806540452,-0.13314206806540452,-0.08041014460471446,0.08041014460471092,0.13314206806540402,1.999848989166872,0.023385882900313633,0.007557327519747873,8.837406092835284e-05
