model,orientation,center_theta1_over_pi,center_theta2_over_pi,radius_over_pi,n_points,D_loc_strict,D_loc_swap,ep_exact,arg_det,max_abs_phase,eigphase_1,eigphase_2,eigphase_3,eigphase_4,schmidt_1,schmidt_2,schmidt_3,schmidt_4,inverse_consistency_norm
BHZ,+,1.0,1.0,0.532442,121,0.0006767671019205781,0.0006767671019205781,1.0178080600553585e-07,3.844716428905159e-15,0.00035988412792790843,-0.00035988412792046945,-0.0003598841279080958,0.00035988412790434465,0.00035988412792790843,1.999999885496576,0.0006767666320633004,7.892126266721543e-07,2.670572632079033e-10,5.705231718662191e-14
BHZ,-,1.0,1.0,0.532442,121,0.0006767671019101282,0.0006767671019101282,1.0178080393311953e-07,1.0762061814634236e-15,0.0003598841279261866,-0.0003598841279261866,-0.00035988412789293576,0.0003598841279037042,0.0003598841279166963,1.999999885496578,0.0006767666320528325,7.892126423380044e-07,2.670621306513575e-10,5.705231718662191e-14
SSH,+,1.0,1.0,0.532442,121,0.0007992497350034149,0.0007992497350034149,1.41955543616253e-07,-2.9802758957935996e-16,0.0004020929504239287,-0.0004020929504239287,-0.00039792651008840717,0.0003979265100894527,0.00040209295042273866,1.9999998402999783,0.0007992475831194525,1.8477759877187974e-06,7.384172947406933e-10,2.4534922652557853e-14
SSH,-,1.0,1.0,0.532442,121,0.0007992497350024537,0.0007992497350024537,1.419555420866124e-07,-2.5381927775999907e-15,0.0004020929504247064,-0.0004020929504227939,-0.00039792651009011777,0.0003979265100855739,0.0004020929504247064,1.9999998402999797,0.0007992475831184944,1.8477759865798492e-06,7.38414799797853e-10,2.4534922652557853e-14
BBH,+,1.0,1.0,0.532442,121,0.1780047509568895,0.1780047509568895,0.006970315679255545,1.776356839400251e-15,0.8342343151992566,-0.8342343151992544,-0.6466296718350188,0.6466296718350178,0.8342343151992566,1.9920785771592024,0.17539043316340144,0.029232078434596447,0.0025737071607996576,2.7444463924947154e-14
BBH,-,1.0,1.0,0.532442,121,0.1780047509568859,0.1780047509568859,0.006970315679265167,-3.830269434956791e-15,0.8342343151992544,-0.8342343151992544,-0.6466296718350212,0.6466296718350193,0.8342343151992526,1.9920785771591938,0.1753904331633976,0.029232078434595705,0.002573707160800181,2.7444463924947154e-14
