B,D_loc,ep_mean,ep_stderr,gap_min,joint_max
0.0,1.2047473786515003e-13,1.5978971618091364e-15,1.3617470181264411e-16,0.4563147235593065,6.501766753737938e-16
0.02,0.0008232622604756835,1.5339028670922471e-07,3.0943326060098712e-09,0.4428279294343431,2.4079402822343445e-05
0.05,0.005155904777387283,6.016331654353033e-06,1.2136149445871166e-07,0.4226317869285333,6.140690735974366e-05
0.1,0.020773906348133215,9.765997571197231e-05,1.9696557210403803e-06,0.38915486972801633,0.00013183395500968793
0.2,0.08550139808938823,0.0016509787439732927,3.3275092183830274e-05,0.32346692743298844,0.00034942686507714014
0.3,0.20135615693512773,0.009062894420046722,0.00018248467148855428,0.26060054068448735,0.000831380862042414
