s,gap,joint,deltaA,deltaB,frame_overlap,edge_weight
0.0,0.26060497974828534,0.0004348497022848376,1.8389945815957078,1.5615353768008455,0.9999569331442487,0.6035155698463186
0.008333333333333333,0.2606017408232434,0.0004622915306897448,1.8389945987263256,1.5605643274446137,0.9999568892159886,0.6035155786730609
0.016666666666666666,0.26060054068448735,0.0004891511315193115,1.8389946050788173,1.559469168291146,0.9999568387772804,0.6035155819462532
0.025,0.2606013800299748,0.0005153747434245283,1.8389946006357691,1.5582616500377775,0.9999567819032925,0.6035155796569232
0.03333333333333333,0.2606042583715985,0.0005409021410110528,1.8389945854093601,1.5569547573205667,0.9999567187493716,0.6035155718113454
0.041666666666666664,0.2606091740345904,0.0005656713918377464,1.8389945594413253,1.5555625770312538,0.9999566495690162,0.6035155584310254
0.05,0.2606161241554592,0.0005896224126257825,1.8389945228028504,1.5541001540390416,0.9999565747300553,0.6035155395526405
0.058333333333333334,0.260625104678439,0.0006126979470140319,1.8389944755943588,1.5525833354643475,0.9999564947280397,0.6035155152279379
0.06666666666666667,0.2606361103504012,0.0006348437673501837,1.838994417945256,1.5510286048110586,0.9999564101959402,0.6035154855235937
0.075,0.26064913471415274,0.0006560086776320078,1.838994350013563,1.5494529074263483,0.99995632190928,0.6035154505210303
0.08333333333333333,0.2606641701000391,0.0006761444803446378,1.8389942719854808,1.5478734689195952,0.999956230786002,0.6035154103161924
0.09166666666666666,0.26068120761571556,0.0006952059534151701,1.8389941840748947,1.5463076083302314,0.9999561378805345,0.6035153650192854
0.1,0.2607002371339594,0.0007131508491785012,1.8389940865227739,1.5447725479838874,0.9999560443717588,0.6035153147544721
0.10833333333333334,0.2607212472783276,0.0007299399167269211,1.8389939795965122,1.543285222111363,0.9999559515448123,0.6035152596595307
0.11666666666666667,0.2607442254064565,0.000745536945929563,1.8389938635892005,1.5418620864205967,0.9999558607670107,0.6035151998854819
0.125,0.2607691575907318,0.00075990883072052,1.8389937388188247,1.5405189309015945,0.9999557734584081,0.6035151355961699
0.13333333333333333,0.26079602859603856,0.000773025649332105,1.8389936056273841,1.5392706982027513,0.9999556910578877,0.6035150669678154
0.14166666666666666,0.26082482185421374,0.0007848607594263641,1.8389934643799644,1.538131309938969,0.9999556149858905,0.6035149941885329
0.15,0.26085551943477475,0.000795390906378115,1.8389933154637328,1.537113503272363,0.9999555466051754,0.6035149174578152
0.15833333333333333,0.260888102011424,0.0008045963432179652,1.8389931592868698,1.5362286800422458,0.9999554871811854,0.6035148369859836
0.16666666666666666,0.26092254882370736,0.0008124609609542717,1.8389929962774605,1.5354867706095428,0.9999554378436701,0.6035147529936138
0.175,0.26095883763312167,0.0008189724281571548,1.8389928268823224,1.5348961144217272,0.9999553995512687,0.6035146657109332
0.18333333333333332,0.2609969446728182,0.0008241223388445792,1.8389926515657646,1.5344633590982704,0.9999553730606581,0.603514575377184
0.19166666666666665,0.261036844589883,0.0008279063678111675,1.8389924708083352,1.5341933795869518,0.9999553589017164,0.6035144822399743
0.2,0.2610785103789871,0.0008303244326772721,1.83899228510549,1.5340892186521067,0.9999553573598858,0.6035143865545936
0.20833333333333334,0.2611219133059482,0.000831380862042414,1.8389920949662422,1.534152049634243,0.999955368466589,0.6035142885833159
0.21666666666666667,0.2611670228194732,0.0008310845692374854,1.8389919009117572,1.534381162073406,0.9999553919981695,0.6035141885946789
0.225,0.2612138064489715,0.0008294492313105236,1.8389917034739378,1.5347739704261014,0.9999554274834155,0.6035140868627515
0.23333333333333334,0.2612622296859075,0.0008264934729957527,1.8389915031939559,1.5353260457361766,0.9999554742192704,0.6035139836663781
0.24166666666666667,0.26131225584561624,0.0008222410555490165,1.8389913006207732,1.5360311697551898,0.9999555312940085,0.603513879288418
0.25,0.26136384590582623,0.0008167210704531799,1.8389910963096296,1.5368814106558348,0.9999555976167299,0.6035137740149648
0.2583333333333333,0.2614169583173176,0.0008099681380929737,1.8389908908205383,1.5378672191534333,0.9999556719518002,0.60351366813457
0.26666666666666666,0.26147154878108597,0.0008020226115438978,1.8389906847167283,1.5389775435526512,0.9999557529566561,0.6035135619374447
0.275,0.26152756998509197,0.0007929307855896378,1.838990478563117,1.5401999619767688,0.9999558392212897,0.6035134557146685
0.2833333333333333,0.26158497129201086,0.0007827451109170005,1.838990272924761,1.5415208298196246,0.9999559293077345,0.6035133497573918
0.2916666666666667,0.26164369836735735,0.0007715244130528781,1.8389900683652975,1.542925440289734,0.9999560217879446,0.6035132443560335
0.3,0.261703692734675,0.0007593341149225019,1.8389898654454,1.5443981957928279,0.9999561152786655,0.603513139799489
0.30833333333333335,0.26176489124114777,0.0007462464607293231,1.838989664721258,1.5459227878235007,0.9999562084720421,0.6035130363743382
0.31666666666666665,0.26182722541271014,0.0007323407369359989,1.838989466743035,1.547482383006399,0.99995630016109,0.6035129343640586
0.325,0.2618906206721945,0.0007177034830830158,1.8389892720533643,1.54905981293968,0.9999563892593663,0.6035128340482468
0.3333333333333333,0.2619549953870055,0.0007024286802672213,1.8389890811858685,1.5506377655432753,0.9999564748145233,0.6035127357018577
0.3416666666666667,0.26202025970373855,0.0006866178969382037,1.8389888946636885,1.5521989756973409,0.9999565560157256,0.6035126395944445
0.35,0.2620863141154509,0.0006703803572011284,1.8389887129980649,1.553726413065961,0.9999566321951683,0.603512545989426
0.35833333333333334,0.2621530476923378,0.0006538328684128862,1.8389885366869083,1.5552034651321782,0.9999567028241702,0.603512455143358
0.36666666666666664,0.2622203358874908,0.0006370994815121338,1.8389883662134654,1.5566141136169431,0.9999567675045388,0.6035123673052356
0.375,0.2622880378053061,0.0006203105977096836,1.838988202044976,1.5579431026111448,0.9999568259559903,0.6035122827158089
