loop,fit,phi,axis_x,axis_y,axis_z,generator_distance,unitary_distance
SSH_left,P_L⊗(n·σ),0.20144079609590645,0.3209726620984091,0.1610628196393951,-0.9332927291666148,0.0004188022730692059,0.5659152440860223
BHZ_top,P_T⊗Z,0.18409577881152084,-4.0818813613752423e-16,-3.338539532634672e-16,-1.0,0.0010353355323511134,0.5177662788319255
BHZ_diag,I⊗Z,-0.18397548432778488,,,,0.012156867928747941,0.731855197657371
BHZ_anti,Z⊗Z,-0.18408423001093188,,,,4.612628898233962e-14,0.7321852520095893
