theta_L,theta_R,gap,joint,deltaA,deltaB,edge_weight,nloc
0.0,0.0,0.26060497974828534,0.0004348497022848376,1.8389945815957078,1.5615353768008455,0.6035155698463186,0.03941115522637061
0.0,0.07757018897752575,0.260600908409174,0.00047529978523503427,1.8389946031321156,1.5600518270169619,0.6035155809431944,0.03951891206423661
0.0,0.1551403779550515,0.26060131257580793,0.0005144155303841111,1.8389946009927876,1.5583082285926428,0.603515579840881,0.03966269514778613
0.0,0.23271056693257725,0.2606061917322494,0.0005520079268060658,1.8389945751905863,1.5563456659929633,0.603515566546008,0.039846317424826805
0.0,0.310280755910103,0.26061553964512796,0.0005878776012737248,1.8389945258806994,1.5542105458358197,0.6035155411385373,0.04007142796290024
0.0,0.3878509448876288,0.26062934434673557,0.000621835514400061,1.8389944533597002,1.5519535520124164,0.603515503771282,0.040336843559571484
0.0,0.4654211338651545,0.26064758810209326,0.0006537069852806841,1.8389943580637618,1.5496284862105396,0.6035154546689856,0.040638171664548514
0.0,0.5429913228426803,0.260670247358994,0.0006833318647734883,1.838994240566032,1.5472910160519842,0.6035153941269726,0.04096778140326489
0.0,0.620561511820206,0.2606972926794889,0.0007105643648727933,1.8389941015731965,1.54499735679143,0.6035153225093702,0.04131512470587542
0.0,0.6981317007977318,0.2607286886506457,0.0007352730746058075,1.8389939419212145,1.5428029160823082,0.6035152402469173,0.0416673581146801
0.0,0.7757018897752576,0.26076439377167426,0.0007573412119723809,1.8389937625702972,1.540760934445938,0.6035151478343772,0.04201018038873621
0.0,0.8532720787527833,0.26080436031362253,0.0007766670833805367,1.838993564599128,1.53892115650201,0.6035150458275557,0.04232878678794645
0.0,0.930842267730309,0.2608485341467093,0.000793164715579895,1.8389933491983825,1.5373285694425673,0.6035149348399619,0.04260884530367168
0.0,1.0084124567078347,0.2608968545289583,0.0008067646306766379,1.838993117663555,1.5360222453905208,0.6035148155391181,0.04283741595076587
0.0,1.0859826456853605,0.2609492538479914,0.0008174147408165006,1.8389928713871746,1.5350343229666672,0.6035146886425404,0.04300375398540808
0.0,1.1635528346628863,0.26100565730548586,0.000825081343774582,1.8389926118504254,1.5343891604741517,0.6035145549134284,0.043099956284226554
0.0,1.241123023640412,0.2610659825307676,0.0008297502041889642,1.838992340614237,1.534102688589909,0.6035144151560696,0.04312142474444314
0.0,1.3186932126179378,0.26113013910595195,0.0008314277080713914,1.8389920593098963,1.5341819844547815,0.6035142702110045,0.04306713126986529
0.0,1.3962634015954636,0.26119802797971725,0.0008301420809250532,1.8389917696292402,1.5346250818354594,0.603514120949971,0.04293967665138031
0.0,1.4738335905729893,0.26126954073957054,0.0008259446625883739,1.8389914733144694,1.535421023966613,0.6035139682706588,0.04274514173277241
0.0,1.5514037795505151,0.261344558702727,0.0008189112348448974,1.8389911721476826,1.5365501572285143,0.6035138130913137,0.04249273497374961
0.0,1.6289739685280409,0.26142295177243086,0.0008091434007133201,1.8389908679401468,1.5379846554710068,0.6035136563452113,0.04219424716279415
0.0,1.7065441575055667,0.2615045769881675,0.0007967700165959008,1.8389905625214142,1.539689257045634,0.6035134989750459,0.041863332909925194
0.0,1.7841143464830924,0.26158927667272075,0.0007819486790262231,1.8389902577283033,1.5416221898798554,0.6035133419272619,0.04151465088607563
0.0,1.861684535460618,0.26167687604319856,0.0007648672645751091,1.8389899553938789,1.5437362545479474,0.603513186146359,0.04116291116151086
0.0,1.9392547244381437,0.2617671801024517,0.000745745510998265,1.8389896573363953,1.5459800314636127,0.6035130325692131,0.04082189743703574
0.0,2.0168249134156695,0.2618599695549422,0.0007248366035359038,1.8389893653483842,1.548299176106878,0.6035128821194441,0.040503550856740664
0.0,2.0943951023931953,0.26195499538700495,0.0007024286802672987,1.8389890811858678,1.550637765543275,0.6035127357018579,0.04021721397273507
0.0,2.171965291370721,0.26205197160099303,0.000678846068448389,1.8389888065577966,1.5529396602321817,0.6035125941970076,0.03996913045330096
0.0,2.249535480348247,0.2621505653745946,0.0006544498389262324,1.8389885431157795,1.5551498470137473,0.6035124584558982,0.03976227257194527
0.0,2.3271056693257726,0.2622503836011596,0.0006296366655264354,1.8389882924441419,1.5572157319296447,0.6035123292948669,0.039596524951998974
0.0,2.4046758583032983,0.2623509543159935,0.0006048328872391909,1.8389880560504057,1.5590883548825465,0.6035122074906771,0.039469198266999704
0.0,2.482246047280824,0.2624517008874449,0.0005804740159868435,1.8389878353562161,1.5607235018029095,0.6035120937758447,0.03937579510416104
0.0,2.55981623625835,0.26255190603594314,0.0005569952915826557,1.838987631688807,1.5615288238522285,0.6035119888342363,0.03931091584784235
0.0,2.6373864252358756,0.2626506618355079,0.0005349745676255268,1.8389874462730071,1.5615286066710239,0.6035118932969539,0.03926918218599612
0.0,2.7149566142134014,0.2627468012849367,0.0005150322587766837,1.8389872802238787,1.561528410195213,0.603511807738543,0.039246067496457815
0.0,2.792526803190927,0.26283880812995286,0.0004976716964991967,1.8389871345400164,1.5615282354985995,0.6035117326735358,0.039238548354610964
0.0,2.870096992168453,0.2629247077016448,0.00048329722165460536,1.8389870100975332,1.5615280834634115,0.6035116685533575,0.039245519998395276
0.0,2.9476671811459787,0.2630019595459232,0.0004722011920999715,1.838986907644808,1.5615279547790564,0.6035116157636137,0.03926794430520801
0.0,3.0252373701235045,0.2630674126534347,0.00046453273952044497,1.8389868277979682,1.5615278499433582,0.6035115746217699,0.0393087200844295
0.0,3.1028075591010302,0.26311744699326967,0.0004602590215206753,1.838986771037197,1.5615277692662124,0.6035115453752432,0.03937228464824977
0.0,3.180377748078556,0.2631484620015194,0.000459089922809628,1.838986737703841,1.560820799474304,0.6035115281999155,0.039463976616237365
0.0,3.2579479370560818,0.2631577481068351,0.000460624338303096,1.8389867279983614,1.5592024888231406,0.6035115231990751,0.03958921530080778
0.0,3.3355181260336075,0.2631444093902137,0.0004644925044259974,1.8389867419791255,1.5573439942806395,0.6035115304027958,0.03975258053769805
0.0,3.4130883150111333,0.2631097198767207,0.0004701794778569574,1.8389867795620516,1.555289182969883,0.6035115497677557,0.03995690229156422
0.0,3.490658503988659,0.26305662453280476,0.000477101376030984,1.8389868405211285,1.5530867369199286,0.6035115811774994,0.040202482182680535
0.0,3.568228692966185,0.2629887825203425,0.0004846627034337782,1.83898692448976,1.5507890483928874,0.6035116244431362,0.04048656043487499
0.0,3.6457988819437106,0.2629097533169805,0.0004922887379554198,1.8389870309629774,1.5484510112550107,0.6035116793044766,0.040803108904075305
0.0,3.723369070921236,0.26282258058621677,0.000499445838014208,1.838987159300466,1.5461287324770914,0.6035117454315952,0.041142980156948214
0.0,3.8009392598987617,0.26272969623822995,0.0005056530500592222,1.8389873087304338,1.5438781915248754,0.6035118224268194,0.04149438758601658
0.0,3.8785094488762875,0.262632983663889,0.0005104874578349171,1.8389874783542315,1.5417538787783032,0.6035119098271149,0.04184364691702663
0.0,3.9560796378538132,0.26253388839968506,0.0005135853860213412,1.8389876671517695,1.5398074469311012,0.6035120071068713,0.042176084486630364
0.0,4.033649826831339,0.2624335246429508,0.0005146411124835036,1.8389878739876493,1.5380864112810495,0.6035121136810666,0.042477013438309175
0.0,4.111220015808865,0.2623327614237865,0.0005134042569621678,1.8389880976179827,1.5366329356436257,0.6035122289087776,0.04273269009527234
0.0,4.1887902047863905,0.262232287389161,0.0005096766034534395,1.8389883366978803,1.5354827400650108,0.6035123520970405,0.04293118139994309
0.0,4.266360393763916,0.26213265794935214,0.0005033088139570587,1.8389885897895417,1.5346641644032797,0.6035124825050151,0.043063093840037
0.0,4.343930582741442,0.26203432916338903,0.0004941972965752455,1.8389888553708884,1.5341974181229756,0.6035126193484381,0.04312213091449797
