theta_T,theta_B,gap,joint,deltaA,deltaB,edge_weight_2row,nloc
0.0,0.0,0.4268759788294326,0.006214481247606739,1.8111912733681406,1.844521550759134,0.9526597848157721,0.02659945969618937
0.0,0.15324842212633139,0.42709071630281475,0.006263384971178778,1.808706977650036,1.843839022792078,0.9526347284679273,0.026735677100312202
0.0,0.30649684425266277,0.4277033284562772,0.006476194365879285,1.8062492087163595,1.8418617317749466,0.9525621652294418,0.02699380031096066
0.0,0.45974526637899416,0.4286270211802397,0.006812780489597245,1.80388703519659,1.8387913873361577,0.9524495432120563,0.027347334594249234
0.0,0.6129936885053255,0.4297431927182343,0.0072247655087413305,1.8016863129502987,1.8349355524881412,0.9523081327246107,0.02776094120580947
0.0,0.7662421106316569,0.4309343730317173,0.007667390660387452,1.7997064704020826,1.8306708221546568,0.9521515849236489,0.028194605239919054
0.0,0.9194905327579883,0.43211187604748647,0.008105134738435353,1.7979982916725805,1.8264013446198935,0.9519943571855327,0.02860785484036292
0.0,1.0727389548843198,0.4332246408977473,0.008512617576369601,1.796602822571602,1.8225188215852828,0.9518502604501009,0.02896351335856013
0.0,1.225987377010651,0.43425150374226706,0.00887331275844755,1.7955512538435494,1.8193683103381015,0.951731290821642,0.029230705245826036
0.0,1.3792357991369824,0.43518924097566114,0.009177699145932507,1.794865457471254,1.8172219250556056,0.9516468010002227,0.029387037315138413
0.0,1.5324842212633139,0.43604409488746065,0.009421584884777436,1.7945587897972153,1.8162606972721542,0.9516029847681955,0.02941999949810871
0.0,1.6857326433896453,0.4368273164800929,0.009604842398189976,1.7946368124843906,1.8165638265385722,0.9516026076819575,0.029327669334801736
0.0,1.8389810655159766,0.4375529356175547,0.009730571129695338,1.7950976839466184,1.8181043626279523,0.9516449183526547,0.029118779666872534
0.0,1.992229487642308,0.43823648228011713,0.009804609632639353,1.7959321073013494,1.8207507869680821,0.9517257050046899,0.02881214901482932
0.0,2.1454779097686396,0.43889415236909446,0.009835270836716339,1.7971228640622579,1.8242746626865172,0.9518375048692864,0.02843541539562429
0.0,2.298726331894971,0.43954229754746327,0.009833141510694251,1.7986441010339096,1.828365126236333,0.9519700122614412,0.028022996294647474
0.0,2.451974754021302,0.4401973092949582,0.009810762905753705,1.8004606555361804,1.8326511395834424,0.9521107485124264,0.02761325483431095
0.0,2.6052231761476334,0.44087625322220864,0.009782006590678335,1.802527777507625,1.836731824426401,0.9522460396182157,0.027244997709209313
0.0,2.7584715982739647,0.4415992892880836,0.0097610041464556,1.8047916050995212,1.8402137556457956,0.95236228931352,0.026953631048322498
0.0,2.9117200204002964,0.4423960895881064,0.00976060991774023,1.8071906463577347,1.842752019813282,0.9524474444375263,0.02676746813360978
0.0,3.0649684425266277,0.4433177677817841,0.009790573118740526,1.8096583119525924,1.8440897640623959,0.9524924528612471,0.02670471685145707
0.0,3.218216864652959,0.4433177677817851,0.00979057311874041,1.809658311952591,1.8440897640623963,0.952492452861247,0.02677154864706812
0.0,3.3714652867792907,0.44239608958810756,0.009760609917740146,1.8071906463577345,1.8427520198132834,0.952447444437527,0.026961454522597825
0.0,3.524713708905622,0.4415992892880823,0.009761004146455515,1.8047916050995196,1.8402137556457951,0.9523622893135201,0.02725593862764051
0.0,3.6779621310319532,0.4408762532222098,0.009782006590678459,1.8025277775076272,1.8367318244264041,0.9522460396182167,0.0276264867267702
0.0,3.8312105531582845,0.4401973092949577,0.009810762905753641,1.8004606555361802,1.8326511395834413,0.9521107485124267,0.02803759647527533
0.0,3.984458975284616,0.4395422975474618,0.009833141510694282,1.79864410103391,1.8283651262363338,0.9519700122614421,0.028450467010640548
0.0,4.1377073974109475,0.4388941523690956,0.009835270836716243,1.7971228640622576,1.8242746626865176,0.9518375048692864,0.02882682499627489
0.0,4.290955819537279,0.4382364822801171,0.009804609632639372,1.7959321073013497,1.8207507869680852,0.9517257050046904,0.029132400816599156
0.0,4.44420424166361,0.43755293561755476,0.009730571129695416,1.7950976839466168,1.8181043626279523,0.9516449183526545,0.029339735805943273
0.0,4.597452663789942,0.43682731648009226,0.009604842398189919,1.7946368124843886,1.8165638265385708,0.9516026076819573,0.029430199502261715
0.0,4.750701085916273,0.43604409488746,0.009421584884777607,1.7945587897972142,1.8162606972721522,0.9516029847681948,0.029395238644162998
0.0,4.903949508042604,0.43518924097566114,0.009177699145932538,1.7948654574712537,1.8172219250556072,0.951646801000222,0.02923693490565525
0.0,5.057197930168936,0.43425150374226695,0.008873312758447681,1.7955512538435505,1.819368310338104,0.9517312908216428,0.028967929376197896
0.0,5.210446352295267,0.43322464089774726,0.008512617576369607,1.796602822571601,1.8225188215852846,0.9518502604500998,0.028610713075169714
0.0,5.363694774421599,0.43211187604748597,0.008105134738435216,1.7979982916725803,1.8264013446198921,0.9519943571855333,0.028196223350079982
0.0,5.516943196547929,0.43093437303171733,0.007667390660387398,1.799706470402083,1.8306708221546557,0.9521515849236494,0.027761661872563605
0.0,5.670191618674261,0.42974319271823386,0.007224765508741342,1.8016863129503005,1.8349355524881394,0.9523081327246117,0.027347490385798687
0.0,5.823440040800593,0.4286270211802404,0.00681278048959732,1.803887035196587,1.8387913873361519,0.952449543212055,0.026993682680583792
0.0,5.976688462926924,0.4277033284562777,0.006476194365879331,1.80624920871636,1.8418617317749493,0.9525621652294424,0.0267355115781336
0.0,6.129936885053255,0.42709071630281403,0.006263384971178703,1.8087069776500346,1.843839022792079,0.952634728467927,0.026599388367820373
0.15324842212633139,0.0,0.42709071630281464,0.006263384971178776,1.8087069776500369,1.8438390227920813,0.9526347284679277,0.026735677100310443
0.15324842212633139,0.15324842212633139,0.42719477901645814,0.006349859206585786,1.8062250348936977,1.843836404445422,0.9526110319625651,0.02687196454223958
0.15324842212633139,0.30649684425266277,0.42770272755388716,0.006534015566094866,1.8037695995371368,1.8418595298299971,0.9525398146136574,0.027130195466605802
0.15324842212633139,0.45974526637899416,0.4285287854333464,0.006843646395533163,1.8014096817903842,1.8387895459509636,0.9524284944574004,0.02748383110637765
0.15324842212633139,0.6129936885053255,0.42955534690196334,0.007231193307489312,1.7992110950735953,1.8349340072938427,0.9522883169135524,0.027897455303014927
0.15324842212633139,0.7662421106316569,0.430665412279473,0.007652006964359415,1.797233243051609,1.8306695309608316,0.9521329142898358,0.028330956759864447
0.15324842212633139,0.9194905327579883,0.43176988825936596,0.008070362933854726,1.795526899909923,1.8264003121271302,0.9519767303863109,0.02874376869979868
0.15324842212633139,1.0727389548843198,0.4328166730325381,0.008460665765689119,1.7941331102185538,1.822518111577092,0.951833565849687,0.02909863930494807
0.15324842212633139,1.225987377010651,0.43378342595790365,0.008806298992620516,1.7930830646258693,1.819368042834516,0.9517154072122669,0.029364649959167526
0.15324842212633139,1.3792357991369824,0.4346658617589029,0.009097810615865436,1.7923986289054206,1.817222259368703,0.951631595834338,0.029519403415335543
0.15324842212633139,1.5324842212633139,0.43546927252536394,0.0093312283336422,1.792093141328675,1.8162618040012362,0.9515883104722485,0.02955042852032566
0.15324842212633139,1.6857326433896453,0.4362040186964046,0.0095067757553204,1.7921721300973563,1.8165658524441661,0.9515882969525004,0.02945588813594433
0.15324842212633139,1.8389810655159766,0.436883286784456,0.009628017456567712,1.792633703885314,1.8181073927118923,0.9516307795548634,0.02924465065672653
0.15324842212633139,1.992229487642308,0.4375218061685595,0.009701352554577835,1.7934685018872902,1.8207548086209795,0.9517115189591971,0.02893572325121378
0.15324842212633139,2.1454779097686396,0.4381349598609836,0.009735720783122037,1.7946592329288342,1.8242795376860257,0.9518230244276784,0.02855698346056177
