N,D_loc,ep_mean,gap_min,joint_max
12,0.20104118675586224,0.009033679733039915,0.2812423422449316,0.00810374123884738
14,0.20130269390155495,0.009057930800536577,0.26928984998830086,0.0035157743200362325
16,0.2013561569351277,0.009062894420046722,0.26060054068448735,0.000831380862042414
18,0.20136631294116303,0.009063729085254508,0.2549476415043362,0.0003511779439936573
20,0.20136819312920093,0.009063814099185588,0.25056000820538304,0.00030608441921357426
