s,gap,joint,deltaA,deltaB,frame_overlap,edge_weight_2row
0.0,0.4268759788294326,0.006214481247606739,1.8111912733681406,1.844521550759134,0.9999490910013269,0.9526597848157721
0.008333333333333333,0.4269399609021714,0.006210820029954705,1.8095046764127498,1.8444408529699279,0.9999486230507353,0.9526537305674536
0.016666666666666666,0.427131368975393,0.006255101393327052,1.80781304395871,1.8441997423566678,0.9999482234098547,0.9526356437545398
0.025,0.4274485929981611,0.00634451810670617,1.8061218594279134,1.8438011517594974,0.9999478918508078,0.9526057508843193
0.03333333333333333,0.4278889641380718,0.006475095674763649,1.8044366704544759,1.8432499182444584,0.999947627189321,0.9525644252108769
0.041666666666666664,0.4284487765660859,0.006642051929418573,1.8027630513474946,1.8425527080136013,0.9999474273422853,0.9525121804791536
0.05,0.4291233177775871,0.0068401664034805935,1.8011065652941278,1.8417179140353808,0.9999472894046273,0.9524496624223187
0.058333333333333334,0.4299069072944337,0.007064102204004528,1.7994727270883781,1.8407555289999482,0.9999472097421139,0.952377638252957
0.06666666666666667,0.4307929435782574,0.007308650122881975,1.7978669671373453,1.8396769967437012,0.99994718409621,0.9522969844369629
0.075,0.43177395898867466,0.00756888979953634,1.7962945974349056,1.8384950456926,0.9999472076968762,0.952208673074042
0.08333333333333333,0.4328416826406311,0.00784027894481974,1.7947607801067265,1.8372235081338564,0.9999472753791504,0.9521137572295142
0.09166666666666666,0.4339871110489789,0.008118688417256244,1.7932704990251813,1.8358771292384939,0.9999473816995618,0.9520133555685459
0.1,0.4352005864879066,0.00840040112707985,1.7918285348739413,1.8344713697288393,0.9999475210488045,0.95190863663679
0.10833333333333334,0.4364718830268863,0.008682089622777658,1.7904394439159739,1.8330222059286245,0.9999476877576006,0.9518008031120985
0.11666666666666667,0.437790300217772,0.008960783175612809,1.7891075405913734,1.8315459306673578,0.999947876193329,0.9516910763225318
0.125,0.43914476438076167,0.009233831495950534,1.7878368839486294,1.8300589581581532,0.9999480808456156,0.9515806812886782
0.13333333333333333,0.440523937349002,0.009498869360485827,1.7866312677992424,1.8285776355530705,0.9999482963998043,0.9514708325057657
0.14166666666666666,0.4419163323617997,0.009753784430340732,1.7854942143849306,1.827118063428034,0.9999485177978199,0.9513627206358188
0.15,0.44331043652766067,0.009996689244738727,1.7844289712618322,1.8256959269835358,0.9999487402865364,0.9512575002344332
0.15833333333333333,0.4446948389023885,0.010225897594026276,1.7834385110385236,1.8243263392895432,0.9999489594542388,0.9511562785927314
0.16666666666666666,0.4460583627504992,0.010439905042837285,1.7825255335551131,1.823023697471247,0.9999491712561812,0.9510601057344197
0.175,0.44739020000505975,0.010637373163186465,1.7816924700588228,1.8218015523411282,0.9999493720305096,0.9509699655719785
0.18333333333333332,0.44868004535965156,0.010817116960542921,1.7809414889160138,1.8206724916428678,0.9999495585060437,0.9508867681955951
0.19166666666666665,0.44991822688490535,0.010978094975794018,1.7802745024006699,1.819648036791082,0.9999497278034959,0.950811343244415
0.2,0.4510958296444945,0.01111940158614571,1.779693174112198,1.8187385527706679,0.9999498774317406,0.9507444342917899
0.20833333333333334,0.45220480857714834,0.01124026108646622,1.7791989265998018,1.8179531707018384,0.9999500052806926,0.9506866941647295
0.21666666666666667,0.4532380869830914,0.011340023196711766,1.7787929488041292,1.8172997224790108,0.9999501096122575,0.9506386811121942
0.225,0.4541896373437688,0.01141815970392176,1.7784762029676808,1.8167846868499908,0.9999501890506738,0.9506008557367984
0.23333333333333334,0.4550545419046574,0.011474262005607116,1.778249430711782,1.816413146310503,0.9999502425733643,0.9505735786092335
0.24166666666666667,0.4558290314035426,0.011508039373894812,1.7781131580285496,1.816188754241649,0.9999502695032565,0.9505571084937317
0.25,0.45651050142733035,0.011519317806667541,1.7780676989895714,1.8161137118067598,0.9999502695032568,0.9505516011251967
0.2583333333333333,0.4558290314035422,0.011508039373894862,1.778113158028551,1.8161887542416497,0.9999502425733642,0.9505571084937323
0.26666666666666666,0.45505454190465705,0.011474262005607114,1.7782494307117829,1.816413146310504,0.9999501890506737,0.9505735786092337
0.275,0.4541896373437683,0.011418159703921902,1.7784762029676782,1.8167846868499904,0.9999501096122583,0.9506008557367976
0.2833333333333333,0.45323808698309265,0.011340023196711705,1.77879294880413,1.817299722479012,0.9999500052806933,0.9506386811121952
0.2916666666666667,0.4522048085771479,0.011240261086466353,1.7791989265998003,1.8179531707018395,0.9999498774317408,0.9506866941647294
0.3,0.4510958296444948,0.011119401586145612,1.7796931741121975,1.8187385527706668,0.9999497278034953,0.9507444342917897
0.30833333333333335,0.44991822688490546,0.010978094975794234,1.78027450240067,1.8196480367910814,0.9999495585060443,0.9508113432444145
0.31666666666666665,0.448680045359651,0.010817116960542954,1.780941488916015,1.8206724916428696,0.9999493720305098,0.9508867681955953
0.325,0.44739020000505925,0.010637373163186418,1.7816924700588221,1.8218015523411268,0.9999491712561812,0.9509699655719781
0.3333333333333333,0.4460583627504987,0.010439905042837348,1.7825255335551158,1.8230236974712495,0.9999489594542388,0.9510601057344202
0.3416666666666667,0.44469483890238864,0.010225897594026272,1.7834385110385225,1.8243263392895426,0.9999487402865361,0.9511562785927303
0.35,0.4433104365276607,0.009996689244738734,1.7844289712618342,1.825695926983537,0.9999485177978199,0.9512575002344339
0.35833333333333334,0.44191633236180017,0.009753784430340761,1.7854942143849315,1.8271180634280335,0.9999482963998033,0.9513627206358184
0.36666666666666664,0.4405239373490022,0.009498869360485907,1.7866312677992406,1.8285776355530705,0.9999480808456148,0.9514708325057651
0.375,0.43914476438076283,0.009233831495950404,1.7878368839486278,1.8300589581581523,0.9999478761933294,0.9515806812886776
0.3833333333333333,0.43779030021777343,0.008960783175612814,1.7891075405913732,1.831545930667358,0.9999476877576003,0.9516910763225322
