key,c1,c2,c3,ep_exact
BHZ_C_+,0.0120884040148136,2.2991157588858613e-14,4.767020111984266e-15,3.2471643070951397e-05
BHZ_C_T,0.1840935996631395,0.0010338695024649,1.4876988529977098e-14,0.007446746235420533
BHZ_C_-,0.3681684600218646,3.4416913763379853e-15,2.55351295663786e-15,0.028785158966386042
SSH_C_L,0.201440965338233,0.0003645593627572,1.4155343563970746e-15,0.00889615124678136
SSH_C_anti,0.375674631084955,7.168852484598642e-05,9.15933995315754e-16,0.02991461279524168
BBH_C_y,0.0078803762210282,0.0022704570293943,1.0742275124986378e-15,1.4945264457308679e-05
BBH_C_diag,0.1375378637254821,0.0558212577800385,1.3877787807814457e-17,0.004855988663365007
