,L↓,L↑,R↓,R↑
L↓,0.9974152493068413,0.0718524651590344,8.788146073512575e-05,0.0001896775960348064
L↑,0.07185246515903336,0.9974152493068689,0.00018967759603491207,8.788146073485765e-05
R↓,7.526555707852195e-05,0.0001950277864716171,0.9999999781496332,1.1937784436832816e-07
R↑,0.00019502778647188608,7.526555708595463e-05,1.1937784528174737e-07,0.9999999781496355
