kx,vartheta,gap,joint,deltaA,deltaB,edge_weight_2row,nloc_theta
0.05,0.0,0.4255911459773426,0.006385408365182486,1.8108674193182033,1.8443035563182515,0.9526580530058064,0.053336142898039916
0.05,0.10300303782261616,0.4268708128876136,0.0063764622073787525,1.8077241835616848,1.844177833506742,0.9527175488286006,0.05356101266319208
0.05,0.20600607564523232,0.42861771826647405,0.006529499017569517,1.8045919830084616,1.8434495533752138,0.9527308082369834,0.05401231904244421
0.05,0.3090091134678485,0.4307964350404545,0.006818111891708771,1.8015106457505987,1.8421652499765142,0.9527006827023095,0.054665815540181885
0.05,0.41201215129046465,0.4333566773150383,0.0072079379805791025,1.79851931181314,1.840395753299739,0.952631913857579,0.05548855190507765
0.05,0.5150151891130808,0.4362347017696691,0.007663851142179489,1.79565545775702,1.8382317993703359,0.952530782457328,0.056440976329495275
0.05,0.618018226935697,0.4393551854173793,0.008154251865458404,1.7929540649752744,1.8357788314715502,0.95240469362617,0.05747919376056703
0.05,0.7210212647583132,0.4426335735430167,0.008652563533206665,1.790446979873138,1.8331514257794528,0.9522617369009732,0.05855719413400681
0.05,0.8240243025809293,0.4459788969589083,0.009137131259440918,1.7881624877299038,1.83046774108575,0.9521102558892081,0.05962892102350686
0.05,0.9270273404035454,0.4492970495284373,0.009590529714522487,1.7861250961896897,1.8278443171275907,0.951958454789628,0.060650105700059416
0.05,1.0300303782261615,0.4524944796737634,0.00999880927192459,1.7843555028578377,1.8253914489641805,0.9518140595304714,0.0615798339083567
0.05,1.1330334160487778,0.4554821720236292,0.010350875564708699,1.7828707066331924,1.8232092650231047,0.9516840417691981,0.062381840957145135
0.05,1.236036453871394,0.4581796832853725,0.010638036431240562,1.7816842147651377,1.821384548974055,0.951574405909136,0.06302554736849857
0.05,1.33903949169401,0.4605188838906802,0.010853692146131973,1.780806296471986,1.819988279797926,0.951490033463824,0.06348685561666849
0.05,1.4420425295166264,0.46244700169401765,0.010993133164504619,1.780244237843781,1.8190738239621305,0.9514345758120933,0.06374873099489446
0.05,1.5450455673392425,0.4639286177270723,0.011053414654329775,1.7800025600402165,1.8186756976820433,0.951410385482335,0.06380158804741434
0.05,1.6480486051618586,0.4632451287969505,0.011033286200312084,1.7800831720513102,1.8188088221500243,0.9514184771724666,0.0636434993789679
0.05,1.7510516429844747,0.4615369636622816,0.010933163851713642,1.7804854394903304,1.8194682151781403,0.9514585122305625,0.06328023689752903
0.05,1.8540546808070908,0.45939775979837466,0.010755139297830079,1.7812061614409647,1.8206290932442262,0.9515288037472993,0.06272514756383024
0.05,1.9570577186297071,0.4568717870471782,0.010503027889677037,1.7822394580198475,1.8222473927293064,0.9516263432204122,0.06199885748951407
0.05,2.060060756452323,0.4540198179470106,0.010182464396720364,1.7835765819301255,1.8242607525164667,0.9517468534332048,0.06112879073856056
0.05,2.1630637942749393,0.4509165724583929,0.00980106357847585,1.7852056777090357,1.8265900263943309,0.9518848752285545,0.06014848338594664
0.05,2.2660668320975557,0.44764727525785664,0.009368671854360622,1.7871115222019527,1.829141407136205,0.9520338977211575,0.059096670158650555
0.05,2.3690698699201715,0.4443037178861035,0.008897744344017643,1.7892752882234864,1.8318092391938166,0.95218654163357,0.05801612127509009
0.05,2.472072907742788,0.44098021286971756,0.008403880630156993,1.7916743791522014,1.834479569068787,0.95233480338465,0.05695221223490102
0.05,2.575075945565404,0.43776973522023566,0.00790652294462755,1.7942823837769455,1.8370344291591751,0.9524703629993252,0.05595122139398312
0.05,2.67807898338802,0.434760428281355,0.007429719747069646,1.7970691964653243,1.8393567734587866,0.9525849518848697,0.0550583722171248
0.05,2.7810820212106364,0.4320325537420459,0.0070026171467904965,1.800001336501388,1.841335888304181,0.9526707675751074,0.05431567227082417
0.05,2.8840850590332527,0.4296559089143184,0.006658915222261995,1.8030424821092055,1.8428730007110077,0.9527209128282873,0.05375965008488149
0.05,2.9870880968558686,0.4276877135914905,0.00643409973352242,1.8061542106301203,1.8438867181909324,0.9527298276775096,0.053419148474837974
0.05,3.090091134678485,0.4261709692077825,0.006359570549960691,1.8092969096386815,1.8443178772668163,0.9526936771701633,0.05331338388253939
0.05,3.193094172501101,0.4251333001990121,0.006397221428372618,1.8091114358888065,1.844133371155273,0.9526106564227376,0.05345050321716572
0.05,3.296097210323717,0.4245862921103585,0.006543535408378225,1.8055812792165127,1.8433285808325992,0.9524811793602264,0.05382684176773817
0.05,3.3991002481463335,0.42452533950807264,0.00683283924791482,1.8020638496138384,1.8419281467109851,0.9523079280059994,0.05442700274057727
0.05,3.5021032859689494,0.42493000993658747,0.0072325435371966024,1.7986043584807825,1.8399849758108826,0.9520957539672056,0.05522475943222607
0.05,3.6051063237915657,0.42576492140358574,0.007707784057101962,1.7952479214847876,1.83757755602853,0.9518514402327303,0.056184661414997894
0.05,3.7081093616141816,0.42698112418057776,0.008226318935982465,1.7920384151904045,1.8348058143319677,0.9515833464976333,0.05726414238694356
0.05,3.811112399436798,0.4285179756598985,0.008760487218987265,1.7890174377887176,1.8317858817871593,0.9513009722248477,0.05841589744705272
0.05,3.9141154372594142,0.4303054986380461,0.009287344358517666,1.7862234411051352,1.8286441972124714,0.951014476873629,0.05959031645105691
0.05,4.017118475082031,0.4322672123300295,0.009788062641914624,1.7836910752370612,1.8255113882792333,0.9507341958800362,0.060737808194936106
0.05,4.120121512904646,0.4343234095287652,0.010247213232763371,1.781450758331653,1.822516322134026,0.9504701850808128,0.061810906171721344
0.05,4.223124550727262,0.4363948079650415,0.010652174288926178,1.7795284571481649,1.819780634202774,0.9502318171960261,0.06276609601464629
0.05,4.326127588549879,0.43840642082799075,0.01099271704368566,1.7779456429433056,1.8174139443869333,0.9500274438645642,0.06356534135370709
0.05,4.429130626372495,0.44029138177885346,0.0112607462507945,1.7767193739065616,1.8155098734976176,0.949864127446707,0.06417730841582081
0.05,4.532133664195111,0.4419943628628041,0.011450152201026244,1.7758624501855196,1.8141428936804227,0.9497474396839664,0.06457830261578416
0.05,4.635136702017728,0.4434741967896681,0.011556734457298396,1.7753835895514758,1.8133659926488035,0.949681319983524,0.06475293535021999
0.05,4.738139739840343,0.4441218407765832,0.011578167068801324,1.7752875793767255,1.8132091046771985,0.949667984623224,0.06469453850817136
0.05,4.841142777662959,0.44276414303901174,0.011513985371087755,1.7755753721097758,1.8136782587319265,0.9497078791698472,0.06440533963404593
0.05,4.944145815485576,0.4411685483909266,0.011365583857937216,1.7762441053308358,1.8147554099307084,0.949799669221054,0.06389640370982634
0.05,5.047148853308192,0.43936849673179923,0.01113622307484266,1.7772870425484812,1.816398947024842,0.9499402684404779,0.06318733953939695
0.05,5.150151891130808,0.43741250007854693,0.010831051738473544,1.7786934461999562,1.8185448972760583,0.9501249069248516,0.06230576107194071
0.05,5.253154928953424,0.43536204179162397,0.010457159144056122,1.7804484089362815,1.8211088722895634,0.950347246382411,0.06128648805216026
0.05,5.35615796677604,0.43328851040289035,0.010023682851644776,1.7825326821484282,1.8239888058620646,0.9505995506006888,0.06017046754765445
0.05,5.4591610045986565,0.431269528957881,0.009542007017058117,1.7849225504658008,1.827068520761788,0.9508729195126107,0.059003399786306206
0.05,5.562164042421273,0.42938506716621544,0.009026094179017799,1.787589805990809,1.8302221210470746,0.9511575922976641,0.057834060355860306
0.05,5.665167080243889,0.4277136545313795,0.008492988030504488,1.7905018746162857,1.8333191394266548,0.9514433191912275,0.056712328728387384
0.05,5.7681701180665055,0.42632890278569946,0.007963483232229208,1.7936221375740315,1.8362302800471455,0.9517197933507813,0.055686962983142484
0.05,5.871173155889121,0.4252964464940503,0.007462833411011391,1.796910474013226,1.838833497048926,0.9519771242223085,0.05480320390888873
