model,eta_numeric,D_loc,ep_mean,ep_stderr,gap_min,joint_max,overlap_min,eta_axis2
SSH,-2.0,0.5596765031158125,0.06092049644902471,0.002645101391558823,0.2605504522987258,0.0011443498165939116,0.9984080264219259,False
SSH,-1.9333333333333333,0.560227995901539,0.06102674834616367,0.002649782965559778,0.26056150839309217,0.0011577401514864531,0.9985098907704794,False
SSH,-1.8666666666666667,0.5607286440100718,0.0611232144251246,0.002654034270484107,0.26056563474725264,0.0011578725567587623,0.9986101438935213,False
SSH,-1.8,0.5611654889594205,0.06120737902978095,0.0026577463004438156,0.26058964261363093,0.0011446931108109832,0.9987070949250513,False
SSH,-1.7333333333333334,0.5615255840435842,0.06127673085814844,0.0026608101454511767,0.2606008736445101,0.0011172174694592382,0.9988003684087767,False
SSH,-1.6666666666666667,0.561796005918683,0.061328766433762644,0.0026631168991225647,0.26060211298033037,0.0010741769986824066,0.9988906906983972,False
SSH,-1.6,0.561963867716852,0.06136099352228561,0.0026645576011722905,0.2606042583715986,0.0010145693541674446,0.9989768075575607,False
SSH,-1.5333333333333332,0.5620163335015992,0.061370934568102574,0.00266502325301627,0.26060497974828534,0.0009372465427829518,0.9990329142212461,False
SSH,-1.4666666666666668,0.3755115194562713,0.029331682170669976,0.0012575285675463436,0.26060497974828534,0.000840827465225546,0.9961957045373676,False
SSH,-1.4,0.3746456343178239,0.02920490445319018,0.0012519918674149652,0.26060497974828534,0.0007238411252748526,0.9971856700132326,False
SSH,-1.3333333333333335,0.3740777052655093,0.029121873066435922,0.0012483760336458494,0.26060497974828534,0.0005869129572965861,0.9980365793930218,False
SSH,-1.2666666666666666,0.3737563745635171,0.029074931272441977,0.0012463430020201783,0.26060497974828534,0.00044461649195694876,0.9987454751068382,False
SSH,-1.2,0.3736295456286998,0.029056398375696627,0.0012455537410368393,0.26060497974828534,0.0004348497022848376,0.9993024314219673,False
SSH,-1.1333333333333333,0.37364451782808195,0.02905855492541845,0.0012456678763782998,0.26060497974828534,0.0004348497022848376,0.9994852458726183,False
SSH,-1.0666666666666667,0.37374812520606304,0.029073636434728142,0.0012463436650249962,0.26060497974828534,0.0004348497022848376,0.9995439310920541,False
SSH,-1.0,0.3738868809410448,0.029093836361400133,0.0012472383139545912,0.26060497974828534,0.0004348497022848376,0.9995991000255156,False
SSH,-0.9333333333333333,0.3740139996114284,0.029112322175234837,0.0012480526836506705,0.26059067697490956,0.0006348437673501173,0.9995990966305076,False
SSH,-0.8666666666666667,0.3741101392421375,0.029126264968194662,0.0012486642792648435,0.2605768382543389,0.000773025649332347,0.9995990923656621,False
SSH,-0.8,0.37416283380269594,0.029133841312103267,0.001248995474943352,0.2605563332130618,0.0008303244326775044,0.999599087780027,False
SSH,-0.7333333333333334,0.37415963231012844,0.02913323361121809,0.0012489693668904698,0.2605415454908445,0.0008892294015775824,0.9995990834091864,False
SSH,-0.6666666666666667,0.3740881093833171,0.029122633468245323,0.0012485095790366022,0.2605325407832717,0.000989346548204217,0.9995052148642403,False
SSH,-0.6000000000000001,0.37393587742529477,0.029100245386526058,0.0012475400407263163,0.2605303920352744,0.0010728283481977003,0.9992886172978923,False
SSH,-0.5333333333333334,0.37369060001823046,0.029064290760650202,0.0012459847833982559,0.26053680337964535,0.0011316549892575244,0.9990329142212463,False
SSH,-0.4666666666666668,0.20313809815166442,0.009080112701440279,0.00037171835734109876,0.2605536464617505,0.0011576933685209238,0.9961957045373676,False
SSH,-0.3999999999999999,0.20223176719309083,0.009001849555946056,0.00036838726597475515,0.2605824681871064,0.0011468147955290193,0.9971856700132318,False
SSH,-0.33333333333333326,0.2015823247834768,0.008945977418891582,0.00036602477018439576,0.26060497974828534,0.0010931593697265875,0.9980365793930214,False
SSH,-0.2666666666666666,0.2011468713837079,0.008908627468453232,0.00036446086704582727,0.26060497974828534,0.0010006266727771804,0.9987454751068382,False
SSH,-0.19999999999999996,0.20088267918054697,0.008886030552985202,0.0003635301517923005,0.26060497974828534,0.0008799174818817357,0.9993024314219673,False
SSH,-0.1333333333333333,0.2007470479613816,0.008874474203581135,0.00036307007938305076,0.26060497974828534,0.0007489876856321436,0.9995990845102951,False
SSH,-0.06666666666666665,0.20069720854009515,0.008870270915705386,0.000362919730406007,0.2606034545261726,0.0007890347415961223,0.9995990850161747,False
SSH,0.0,0.20069028439888204,0.008869738408351669,0.00036291908902211863,0.2606013800299748,0.0008303244326772721,0.9995990849172133,False
SSH,0.06666666666666643,0.2006888122851452,0.008869662636099274,0.00036292908208011,0.2605993885080985,0.000873811950710994,0.9995990850021592,False
SSH,0.1333333333333333,0.20067728940934218,0.008868711032275756,0.0003628925014471425,0.2605974800041318,0.0009161122213120251,0.9995990852674428,False
SSH,0.20000000000000018,0.20064571830706004,0.008866024117157555,0.0003627733643557263,0.26059565455982897,0.0009559317939207237,0.9995990847838114,False
SSH,0.2666666666666666,0.20058412547096535,0.008860747225892788,0.00036253663667340155,0.26059335816319573,0.0009928751959345865,0.9995990831761898,False
SSH,0.3333333333333335,0.20048258075452824,0.008852033266310143,0.000362148156627299,0.2605885093616813,0.0010270610571799109,0.9995052148642397,False
SSH,0.3999999999999999,0.20033122331650458,0.008839046143997224,0.0003615745363157113,0.2605839984822114,0.0010569079317766963,0.9992886172978923,False
